Time,Plate Number
10-41-48,4BA09PA 6850
10-41-59,789PA4 685
10-41-59,4BA09PA4 9485
10-42-0,BA89PA4 69385
10-42-0,4BA895PA4 6BA80
10-42-1,4BA409PA4 985
10-42-2,4BA7895PA4 98
10-42-2,4BA409PA4 9385
10-42-3,4BA789PA 6854
10-42-3,4BA789PA 6854
10-42-4,4BA709PA 854
10-42-5,84BA989PA 865446
10-42-5,4BA09PA 9854
10-42-6,789PA 6854
10-42-6,4709PA 854
10-42-7,BA789PA 6854
10-42-7,4789PA 8654
10-42-8,4BAPA0954 480
10-42-9,1BA89PA4 485
10-42-9,8BABABA89PA BA854
10-42-10,4BA2PA09504 8
10-42-10,4BABA709PA 6850
10-42-11,4BA5489PA 4854
10-42-11,4BAPA89PA 4854
10-42-12,4BAPA89PA 8507
10-42-13,4BA89PA 48544
10-42-13,4BAPA89PA 9850
10-42-14,47PA09PA 6850
10-42-14,4BAPA09PA 8504
10-42-15,4BABAPA89PA 88504
10-42-16,4BA09PA 8654
10-42-16,409PA 854
